					BDI			DI			Rand			Time		
medoidy	klaster	s¹siedzi	populacja	kroki	min	mean	max	min	mean	max	min	mean	max	min	mean	max
16	1	29	4	502	13,298948	26,635189	60,206566	0,002605	0,006341	0,014593	0,687476	0,70208	0,713736	1	0,4	1
16	4	1	4	502	0,662859	11,865745	31,282671	0,002115	0,048123	0,23469	0,58206	0,642747	0,722573	0	0,2	1
16	4	15	4	502	2,452303	30,988056	95,922325	0,001724	0,027886	0,171056	0,616021	0,671579	0,696124	1	0,4	1
16	4	29	4	502	3,865651	15,380003	32,05751	0,001501	0,037702	0,090201	0,616084	0,649318	0,684383	0	0,2	1
16	7	1	4	502	1,741529	36,327461	157,585541	0,001352	0,049722	0,235256	0,584017	0,644502	0,719985	0	0,2	1
16	7	15	4	502	1,160236	12,328597	22,753601	0,013904	0,064535	0,355854	0,533708	0,598788	0,638745	1	0,4	1
16	7	29	4	502	7,871753	28,388508	92,011322	0,002868	0,016427	0,05342	0,548857	0,620354	0,690254	0	0,2	1
16	10	1	4	502	2,317504	16,604431	40,821121	0,005285	0,079764	0,236201	0,536107	0,593451	0,688171	0	0,2	1
16	10	15	4	502	4,017919	9,998484	17,841648	0,006107	0,054747	0,139932	0,613874	0,644587	0,675925	0	0,2	1
16	10	29	4	502	4,238472	9,624642	17,841648	0,006799	0,042687	0,06744	0,582755	0,645711	0,697829	0	0,4	1
16	13	1	4	502	0	0	0	0	0	0	0,398687	0,44193	0,51799	1	0,2	1
16	13	15	4	502	7,045385	22,19162	34,827026	0,001225	0,065606	0,165155	0,49394	0,620468	0,686971	0	0,2	1
16	13	29	4	502	1,384188	6,893279	12,370785	0,004714	0,049471	0,11616	0,49009	0,613158	0,697197	0	0,2	1
16	16	1	4	502	1,276855	5,515385	9,753914	0,043934	0,159952	0,275971	0,546269	0,599186	0,653453	0	0,2	1
16	16	15	4	502	0	0	0	0	0	0	0,530804	0,553841	0,65219	0	0,2	1
