					BDI			DI			Rand			Rand		
medoidy	klaster	s¹siedzi	populacja	kroki	min	mean	max	min	mean	max	min	mean	max	min	mean	max
36	17	1	4	502	0,742771	2,576749	6,979606	0,027183	0,165166	0,417843	0,600089	0,655062	0,703733	2	2	2
36	17	15	4	502	0,490316	0,800033	1,636667	0,226793	0,555915	0,692836	0,574667	0,651667	0,724267	1	1,6	2
36	17	29	4	502	0,728265	2,980803	8,89661	0,016024	0,16635	0,354879	0,616089	0,664142	0,704178	2	2	2
36	25	1	4	502	0,718914	2,532037	9,155849	0,021367	0,260011	0,617222	0,521333	0,611151	0,709422	1	1,6	2
36	25	15	4	502	0,58913	1,443701	3,164565	0,080727	0,399131	0,857092	0,508622	0,596236	0,686667	1	1,6	2
36	25	29	4	502	0,805999	 1.#INF00	 1.#INF00	0,035067	0,145087	0,36167	0,591733	0,64964	0,702489	1	1,8	2
36	33	1	4	502	3,157657	6,814604	10,471551	0,015757	0,049537	0,083317	0,333333	0,575733	0,705511	1	1,4	2
36	33	15	4	502	1,508474	2,018239	2,631145	0,103321	0,150906	0,191319	0,501867	0,595555	0,703822	1	1,4	2
36	33	29	4	502	0,459067	2,028398	6,203168	0,078402	0,209008	0,354985	0,505067	0,622022	0,701067	1	1,8	2
3	1	1	4	1002	77,728828	198,341202	516,297668	0,001886	0,00749	0,014362	0,590489	0,776711	0,885422	0	0	0
3	1	15	4	1002	77,728828	198,341202	516,297668	0,001886	0,00749	0,014362	0,590489	0,776711	0,885422	0	0	0
3	1	29	4	1002	52,543461	76,795326	130,505402	0,001681	0,014062	0,019841	0,7192	0,816809	0,885422	0	0,2	1
3	2	1	4	1002	44,618893	48,687843	52,756802	0,004872	0,012356	0,019841	0,333333	0,689244	0,842578	0	0	0
3	2	15	4	1002	44,618893	72,187256	130,505402	0,001681	0,014142	0,019841	0,333333	0,752507	0,965867	0	0	0
3	2	29	4	1002	34,401505	100,025993	292,578369	0,002856	0,017863	0,046617	0,333333	0,749733	0,934578	0	0,2	1
3	3	1	4	1002	42,616817	42,616817	42,616817	0,025601	0,025601	0,025601	0,745422	0,7686	0,777778	0	0	0
3	3	15	4	1002	42,616817	44,237087	50,718166	0,021221	0,024725	0,025601	0,333333	0,677733	0,777778	0	0,2	1
3	3	29	4	1002	0	0	0	0	0	0	0,333333	0,333333	0,333333	0	0	0
14	1	1	4	1002	14,034841	19,034773	28,118605	0,006738	0,024605	0,05034	0,7424	0,754133	0,7752	0	0,4	1
14	1	15	4	1002	16,528662	23,588463	35,581715	0,004325	0,015899	0,04591	0,725867	0,746267	0,764533	0	0,4	1
14	1	29	4	1002	15,652759	23,251516	30,518801	0,004902	0,012601	0,030279	0,712178	0,751636	0,782044	0	0,4	1
14	4	1	4	1002	7,601736	16,741125	30,112207	0,007309	0,022934	0,031817	0,698222	0,738627	0,793333	1	0,4	1
14	4	15	4	1002	3,01936	15,366846	27,141235	0,010033	0,048421	0,159687	0,687644	0,733671	0,7712	1	0,4	1
14	4	29	4	1002	3,776672	15,127052	31,789066	0,019531	0,043835	0,09455	0,626578	0,711595	0,760178	1	0,4	1
14	7	1	4	1002	1,69517	4,066143	5,81128	0,042002	0,10498	0,27858	0,629156	0,673835	0,735467	0	0,2	1
14	7	15	4	1002	2,438954	13,520196	24,712923	0,0123	0,050269	0,185353	0,592267	0,707116	0,784533	0	0,4	1
14	7	29	4	1002	1,726377	12,194615	22,834822	0,017342	0,066299	0,225581	0,566222	0,663627	0,718044	0	0,4	1
14	10	1	4	1002	2,018789	10,894607	31,56366	0,014245	0,097622	0,263377	0,549511	0,635973	0,761422	1	0,4	1
14	10	15	4	1002	11,436512	11,436512	11,436512	0,043768	0,043768	0,043768	0,524533	0,63964	0,751378	0	0,2	1
14	10	29	4	1002	0,698933	7,03053	21,4296	0,035436	0,097528	0,362291	0,575467	0,677493	0,754044	0	0,4	1
14	13	1	4	1002	4,780867	7,279994	8,359103	0,030223	0,061831	0,0887	0,5512	0,623271	0,721422	1	0,4	1
14	13	15	4	1002	10,033724	15,467062	20,397625	0,012693	0,030435	0,048673	0,5072	0,608564	0,721422	0	0,2	1
14	13	29	4	1002	0	0	0	0	0	0	0,357778	0,460476	0,735378	0	0,2	1
25	1	1	4	1002	9,447656	14,126721	38,660149	0,003235	0,023127	0,064703	0,711022	0,718209	0,7264	1	1,6	2
25	1	15	4	1002	9,673023	12,119603	17,700502	0,008487	0,018475	0,03804	0,709511	0,715929	0,729689	1	1,6	2
25	1	29	4	1002	10,251313	13,263806	19,335165	0,010321	0,021026	0,048933	0,711911	0,719733	0,729422	1	1,4	2
25	7	1	4	1002	1,134537	3,560138	10,250901	0,009949	0,192845	0,486739	0,6144	0,657938	0,7168	1	1,4	2
25	7	15	4	1002	0,982082	5,65556	19,626654	0,01271	0,11635	0,532804	0,657778	0,710276	0,786133	1	1,4	2
25	7	29	4	1002	2,587769	9,322482	24,094791	0,010431	0,057655	0,155454	0,639378	0,690676	0,724267	1	1,6	2
25	13	1	4	1002	1,867171	4,162635	8,09379	0,059881	0,101559	0,155416	0,553067	0,64836	0,709333	1	1,2	2
25	13	15	4	1002	2,838023	4,809657	9,956963	0,035479	0,090062	0,148186	0,516356	0,654987	0,723822	1	1,4	2
25	13	29	4	1002	0,489304	4,560213	12,374293	0,01907	0,204389	0,623103	0,566578	0,626978	0,690222	1	1,4	2
