					BDI			DI			Rand			Time		
medoidy	klastry	s¹siedzi	populacja	kroki	min	mean	max	min	mean	max	min	mean	max	min	mean	max
18	5	29	4	502	9,356774	29,414312	55,509937	0,005567	0,020186	0,050697	0,384502	0,409037	0,423018	1	0,8	1
18	9	1	4	502	13,749614	45,88195	293,483704	0,003939	0,022219	0,096782	0,393786	0,429655	0,492144	1	0,6	1
18	9	15	4	502	8,123987	20,75643	42,00787	0,005513	0,073549	0,259539	0,394041	0,42904	0,468269	0	0,6	1
18	9	29	4	502	8,31375	28,998999	75,710991	0,008501	0,095336	0,316076	0,393276	0,435841	0,474492	0	0,6	1
18	13	1	4	502	8,877808	21,548262	64,181641	0,014845	0,080672	0,353957	0,392205	0,434953	0,49801	0	0,6	1
18	13	15	4	502	16,880707	29,094433	46,400776	0,023492	0,035467	0,066882	0,424906	0,448199	0,464646	1	0,6	1
18	13	29	4	502	8,160526	32,584087	100,19651	0,006722	0,018063	0,042699	0,389042	0,474548	0,555556	1	0,6	1
18	17	1	4	502	4,15147	17,276054	38,182426	0,01888	0,215172	0,566538	0,396082	0,464539	0,522294	1	0,6	1
18	17	15	4	502	3,341746	18,49017	52,478203	0,024049	0,075434	0,126818	0,414754	0,47764	0,562902	0	0,4	1
18	17	29	4	502	9,842545	22,257919	115,075905	0,006319	0,083361	0,289756	0,387511	0,451421	0,547189	0	0,6	1
33	1	1	4	502	9,376054	12,328239	15,415156	0,003339	0,015691	0,032739	0,374554	0,378989	0,383073	3	3,6	4
33	1	15	4	502	11,122274	14,301605	18,516386	0,003685	0,009988	0,020796	0,375574	0,378273	0,38343	3	3,2	4
33	1	29	4	502	8,787822	13,473608	21,039263	0,002356	0,008904	0,015169	0,375064	0,378617	0,382053	3	3,4	4
33	9	1	4	502	6,018839	16,536236	36,616871	0,005239	0,086136	0,414432	0,376237	0,400459	0,441792	2	3	4
33	9	15	4	502	6,886767	16,236048	38,665035	0,006776	0,063829	0,484454	0,38593	0,413185	0,436027	2	2,8	3
33	9	29	4	502	4,433423	13,229741	27,088549	0,005318	0,100999	0,377517	0,379196	0,402829	0,426283	3	3,2	4
33	17	1	4	502	5,052602	20,54813	101,437378	0,019291	0,074713	0,281375	0,389705	0,429854	0,476941	2	2,6	3
33	17	15	4	502	4,2796	12,344648	24,261488	0,006164	0,278055	1,074734	0,375217	0,417825	0,491276	3	3	3
33	17	29	4	502	5,258358	9,71939	17,000723	0,010675	0,034023	0,055214	0,377359	0,435665	0,486277	2	2,8	3
33	25	1	4	502	2,193897	11,192502	23,059797	0,019408	0,053042	0,139061	0,391134	0,440488	0,51306	2	2,6	3
33	25	15	4	502	4,845953	13,411848	38,454208	0,010977	0,039078	0,051443	0,394041	0,460203	0,504234	2	2,6	3
33	25	29	4	502	3,6734	9,609139	25,135933	0,025272	0,125252	0,270676	0,397051	0,446368	0,509999	2	2,6	3
33	33	1	4	502	2,623906	10,941678	18,903543	0,014391	0,051865	0,147327	0,385828	0,426084	0,589991	2	2,6	3
33	33	15	4	502	3,355728	12,299235	27,325861	0,006592	0,03964	0,091659	0,38695	0,456481	0,549026	2	2,6	3
33	33	29	4	502	6,529728	11,285823	50,517582	0,036365	0,133773	0,273887	0,399602	0,445381	0,519539	2	2,4	3
48	1	1	4	502	7,738267	9,504267	12,328021	0,005482	0,010008	0,019781	0,37185	0,374911	0,37889	9	9,8	10
48	1	15	4	502	7,08542	8,231485	12,500935	0,006999	0,015304	0,027389	0,372972	0,375051	0,378635	9	9,6	10
48	1	29	4	502	7,416874	9,691553	16,203625	0,003698	0,012971	0,025232	0,373176	0,375235	0,380216	9	9,8	10
48	12	1	4	502	3,60598	9,009377	13,833338	0,007941	0,089122	0,253553	0,381186	0,400201	0,429701	8	9,2	10
48	12	15	4	502	3,778607	13,058652	56,455242	0,0087	0,063103	0,180585	0,384451	0,400982	0,426691	8	9,2	10
48	12	29	4	502	3,342676	8,553761	17,700565	0,011185	0,067295	0,292947	0,376696	0,393894	0,413886	8	9	10
48	23	1	4	502	4,409399	6,584872	15,334208	0,054657	0,222264	0,597765	0,390981	0,425607	0,503265	7	8	9
48	23	15	4	502	2,438071	8,626332	20,802349	0,012666	0,133744	0,395882	0,3819	0,40954	0,446689	7	8,2	10
48	23	29	4	502	3,387671	6,918116	13,165302	0,031104	0,108191	0,271569	0,379706	0,419804	0,445771	8	8,2	9
48	34	1	4	502	1,999966	7,051996	21,733061	0,012551	0,17203	0,305557	0,377257	0,453859	0,593409	6	7	8
48	34	15	4	502	3,921727	7,046746	16,420687	0,051876	0,163964	0,332997	0,39399	0,430005	0,526987	7	7,6	9
48	34	29	4	502	3,26377	7,912443	16,820341	0,014472	0,080846	0,16657	0,373839	0,416529	0,461279	6	8	10
48	45	1	4	502	3,714106	6,420556	11,42051	0,043826	0,134272	0,281961	0,379298	0,441975	0,485359	6	7,6	9
48	45	15	4	502	2,392062	5,039233	11,475341	0	0	0	0,435619	0,488499	0,632691	6	6,2	7
48	45	29	4	502	2,25358	8,528729	22,663126	0,027548	0,134783	0,302682	0,389144	0,445944	0,517804	6	7,4	8
3	1	1	4	1002	55,48053	121,85466	233,863403	0,002467	0,010358	0,024311	0,455311	0,486264	0,52913	1	0,2	1
3	1	15	4	1002	65,61422	190,084717	536,356445	0,001404	0,011253	0,017625	0,457351	0,490141	0,514743	0	0	0
3	1	29	4	1002	93,706856	265,86264	526,619446	0,001435	0,005946	0,011166	0,468371	0,50238	0,531374	0	0,2	1
3	2	1	4	1002	73,11348	102,455971	112,236786	0,005174	0,012133	0,014452	0,456892	0,517116	0,53719	0	0	0
3	2	15	4	1002	30,488062	81,22216	150,618942	0,005174	0,027735	0,0343	0,456892	0,562461	0,643302	0	0,2	1
